Age,TTh,ATh,TAP,MAAT,FI,MIRI,PI,AADTT, pass Sieve 200 subgrade, pass Sieve 200 base_subbase,PCI
10.12,734.1,116.8,223.1999969,10.5,253,1.31,,,,,64.9
10.04,563,218.4,261.6000061,10.30000019,124,0.89,,,,,87.26
14.24,563,218.4,284.7000122,10,176,1.32,,,,,63.68
15.96,563,218.4,293.2999878,11.30000019,231,1.89,,,,,27.38
18.92,563,218.4,353.1000061,11.69999981,263,2.09,,,,,13.2
5.07,792.5,149.8,232,6.9,365,0.7,0,446,8.8,5.6,100
5.87,792.5,149.8,319.7000122,6.8,446,0.77,0,492,8.8,5.6,95.23
9.95,792.5,149.8,429,7.1,532,0.78,0,760,8.8,5.6,93.91
11.83,792.5,149.8,476,7.099999905,566,0.81,0,450,8.8,5.6,92.73
13.87,792.5,149.8,352.2000122,7,637,0.81,0,530,8.8,5.6,92.73
17.05,792.5,149.8,239.1000061,7.2,652,1.32,0,597,8.8,5.6,71.49
18.82,792.5,149.8,326.8999939,7.3,759,1.38,0,644,8.8,5.6,68.33
4.15,520.7,101.6,199.8000031,9.800000191,139,0.8,,,,,93.91
9.04,520.7,101.6,229.8999939,10,158,0.8,,,,,93.91
10.9,520.7,101.6,231,10.10000038,192,0.81,,,,,92.75
12.82,520.7,101.6,238.1999969,9.800000191,293,0.9,,,,,80.7
17.88,520.7,101.6,446.1000061,10,401,1.2,,,,,65
4.15,520.7,109.2,199.8000031,9.800000191,139,0.8,,,,,92.73
9.04,520.7,109.2,229.8999939,10,158,0.8,,,,,92.73
10.9,520.7,109.2,231,10.10000038,192,0.8,,,,,92.73
12.82,520.7,109.2,238.1999969,9.800000191,293,0.9,,,,,80.7
17.88,520.7,109.2,446.1000061,10,401,1.14,,,,,66
4.15,520.7,109.2,199.8000031,9.800000191,139,0.8,,,,,93.91
9.04,520.7,109.2,229.8999939,10,158,0.83,,,,,90.01
10.9,520.7,109.2,231,10.10000038,192,0.83,,,,,89.66
12.82,520.7,109.2,238.1999969,9.800000191,293,0.9,,,,,80.69
17.88,520.7,109.2,446.1000061,10,401,1.12,,,,,68
4.15,520.7,106.7,199.8000031,9.800000191,139,0.81,,,,,93.91
9.04,520.7,106.7,229.8999939,10,158,0.81,,,,,93.91
10.9,520.7,106.7,231,10.10000038,192,0.81,,,,,92.73
12.82,520.7,106.7,238.1999969,9.800000191,293,0.9,,,,,80.69
17.88,520.7,106.7,446.1000061,10,401,1.12,,,,,68
5.07,134.6,137.1,232,7.199999809,365,0.8,,,,,95.23
5.87,134.6,137.1,319.7000122,6.800000191,446,0.8,,,,,92.73
9.95,134.6,137.1,326.8999939,7.300000191,532,1.00999999,,,,,84.48
11.83,134.6,137.1,352.2000122,7.099999905,566,1.35,,,,,92.73
13.88,134.6,137.1,429.8999939,7,637,0.88,,,,,91.66
18.82,134.6,137.1,476.6000061,6.900000095,652,0.89,,,,,88.94
5.07,134.6,134.6,232,7.199999809,365,0.82,,,,,92.73
5.87,134.6,134.6,319.7000122,6.800000191,446,0.82,,,,,92.73
9.95,134.6,134.6,326.8999939,7.300000191,532,0.82,,,,,92.73
11.83,134.6,134.6,352.2000122,7.099999905,566,0.85,,,,,91.66
13.87,134.6,134.6,429.8999939,7,637,0.85,,,,,90.68
18.82,134.6,134.6,476.6000061,6.900000095,652,0.89,,,,,88.94
5.07,134.6,134.6,232,7.199999809,365,0.8,,,,,95.23
5.87,134.6,134.6,319.7000122,6.800000191,446,0.82,,,,,93.91
9.95,134.6,134.6,326.8999939,7.300000191,532,0.83,,,,,92.73
11.83,134.6,134.6,352.2000122,7.099999905,566,0.83,,,,,92.73
13.88,134.6,134.6,429.8999939,7,637,0.84,,,,,91.66
18.82,134.6,134.6,476.6000061,6.900000095,652,0.88,,,,,90.68
5.07,134.6,137.1,232,7.199999809,365,0.8,,,,,95.23
5.87,134.6,137.1,319.7000122,6.800000191,446,0.81,,,,,93.82
9.95,134.6,137.1,326.8999939,7.300000191,532,0.82,,,,,92.11
11.83,134.6,137.1,352.2000122,7.099999905,566,0.83,,,,,91.59
13.88,134.6,137.1,429.8999939,7,637,0.84,,,,,90.69
18.82,134.6,137.1,476.6000061,6.900000095,652,0.9,,,,,88.5
17.78,233.7,269.2,180.3999939,9.899999619,180,1.38,,,,,68.33
22.83,233.7,269.2,254.8000031,9.300000191,230,1.66,,,,,31.29
24.87,233.7,269.2,266.7999878,8.899999619,291,1.66,,,,,34.48
21.08,137.2,276.9,217.1999969,7.199999809,504,1.32,,,,,71.49
21.88,138.2,276.9,288.1,6.800000191,504,1.32,,,,,71.53
24.22,139.2,276.9,288.1000061,5,641,1.54,,,,,52.53
24.48,140.2,276.9,308,7.699999809,654,1.53,,,,,51.49
24.92,141.2,276.9,413.6000061,7.7,886,1.53,,,,,51.75
9.04,520.7,96.5,155.6999969,10,139,0.8,,,,,91.66
23.98,520.7,96.5,189.6000061,9.800000191,139,1.31,,,,,76.85
12.81,520.7,96.5,199.8000031,9.800000191,158,0.89,,,,,89.78
10.9,520.7,96.5,229.8999939,10.10000038,192,0.79,,,,,90.66
24.67,520.7,96.5,231,9.199999809,240,1.37,,,,,65.12
21.14,520.7,96.5,238.1999969,10.69999981,251,1.31,,,,,74.7
16.12,520.7,96.5,250.3999939,9.800000191,280,0.81,,,,,86.11
17.88,520.7,96.5,269.5,10,293,0.82,,,,,84.3
22.65,520.7,96.5,335.7999878,9.399999619,295,1.31,,,,,74.59
4.15,520.7,96.5,446.1000061,9.800000191,401,0.78,,,,,92.73
26.96,269.2,119.3,269.2000122,8.199999809,256,1.011000037,,,,,83.92
30.14,269.2,119.3,397.5,7.300000191,590,1.55,,,,,45.88
31.92,269.2,119.3,425.3999939,7.400000095,610,1.78,,,,,26.27
21.08,287.02,261.7,217.1999969,7.199999809,368,1.02,,,,,80.23
21.88,287.02,261.7,308,6.800000191,543,1.28,,,,,79.24
25.96,287.02,261.7,393.6000061,7.300000191,641,1.38,,,,,59.14
27.75,287.02,261.7,458.1000061,7,654,1.77,,,,,33
21.08,287.02,284.5,217.1999969,7.199999809,368,1.03,,,,,80.23
21.88,287.02,284.5,308,6.800000191,543,1.27,,,,,79.23
25.96,287.02,284.5,393.6000061,7.300000191,641,1.41,,,,,56.01
27.75,287.02,284.5,458.1000061,7,654,1.78,,,,,32.94
21.08,287.02,261.6,217.1999969,7.199999809,368,1.02,,,,,82.87
21.88,287.02,261.6,308,6.800000191,543,1.1,,,,,80.89
25.96,287.02,261.6,393.6000061,7.300000191,641,1.434000015,,,,,57.01
27.75,287.02,261.6,458.1000061,7,654,1.77,,,,,33.21
21.08,287.02,251.5,217.1999969,7.199999809,368,1.02,,,,,81.49
21.88,287.02,251.5,308,6.800000191,641,1.1,,,,,80.52
25.96,287.02,251.5,458.1000061,7.300000191,654,1.43,,,,,57.01
0.11,213.4,147.3,244.3000031,8.100000381,174,0.699999988,,,,,98.45
0.7,213.4,147.3,264.2999878,8.5,401,0.709999979,,,,,96.72
1.78,213.4,147.3,274,7.400000095,449,1.28,,,,,68.75
2.79,213.4,147.3,311.8999939,8.399999619,501,1.6,,,,,50.24
3.79,213.4,147.3,373.8999939,6.699999809,550,1.68,,,,,38.7
4.78,213.4,147.3,390.7000122,8.199999809,595,1.83,,,,,25.6
5.79,213.4,147.3,405.2999878,7.800000191,639,3.07,,,,,3.86
0.11,315,190.5,244.3000031,8.100000381,174,0.7,,,,,98.45
0.7,315,191.5,264,8.5,401,0.7,,,,,98.45
1.78,315,192.5,274,7.400000095,401,1.28,,,,,68.11
1.95,315,193.5,264.2999878,8.399999619,449,1.29,,,,,68.11
2.27,315,194.5,274,6.699999809,501,1.31,,,,,66.83
2.62,315,195.5,274,6.699999809,550,1.31,,,,,66.44
2.78,315,196.5,312,6.699999809,501,1.6,,,,,50.24
3.27,315,197.5,311.8999939,8.199999809,595,1.49,,,,,49.96
3.79,315,198.5,374,6.7,550,1.56,,,,,44.7
4.27,315,199.5,390.7000122,7.800000191,639,1.67,,,,,43.47
4.79,315,200.5,391,8.2,595,1.84,,,,,25.25
0.11,233.7,188,244.3000031,8.100000381,174,0.7,,,,,98.45
0.7,233.7,188,264.2999878,8.5,401,0.71,,,,,96.72
1.78,233.7,188,274,7.400000095,449,0.89,,,,,70.75
2.79,233.7,188,311.8999939,8.399999619,501,1.44,,,,,40.58
3.79,233.7,188,373.8999939,6.699999809,550,1.66,,,,,40.23
4.79,233.7,188,390.7000122,8.199999809,595,1.86,,,,,26.2
5.79,233.7,188,405.2999878,7.800000191,639,2.81,,,,,3.45
0.11,325.1,116.8,244.3000031,8.100000381,174,0.7,,,,,98.45
0.7,325.1,116.8,264.2999878,8.5,401,0.711,,,,,96.72
1.78,325.1,116.8,274,7.400000095,449,0.89,,,,,70.75
2.79,325.1,116.8,311.8999939,8.399999619,501,1.38,,,,,54.24
3.79,325.1,116.8,373.8999939,6.699999809,550,1.68,,,,,39.35
4.78,325.1,116.8,390.7000122,8.199999809,595,1.85,,,,,25.7
5.79,325.1,116.8,405.2999878,7.800000191,639,2.81,,,,,4.13
0.11,236.2,182.9,244.3000031,7.4,174,0.7,,,,,96.72
0.7,236.2,182.9,264.2999878,8.1,401,0.71,,,,,96.72
1.78,236.2,182.9,274,8.5,449,1.01,,,,,67.63
2.79,236.2,182.9,311.8999939,8.399999619,501,1.63,,,,,47.62
3.79,236.2,182.9,373.8999939,6.7,550,1.66,,,,,40.99
4.79,236.2,182.9,390.7000122,8.199999809,595,1.86,,,,,25.89
5.79,236.2,182.9,405.2999878,7.800000191,639,2.81,,,,,3.33
0.11,322.6,116.8,244.3000031,8.100000381,174,0.7,,,,,96.72
0.7,322.6,116.8,264.2999878,8.5,401,0.7,,,,,96.72
